ID,Locality,Lat,Long,Coordinates,Locality Details,Site_ID,Species,Sex,Age,Date captured,Year,d2H,Sr,Uncertainty,d2Hrev,Reference
1,"Boise, ID",43.575364,-116.16705,"East Boise, between Law and Apple Street",,L1,Cooper's Hawk,Male,Juvenile,6/29/2018,2018,-85,,,-61.6245,This study
2,"Boise, ID",43.575364,-116.16705,"East Boise, between Law and Apple Street",,L2,Cooper's Hawk,Male,Juvenile,6/29/2018,2018,-103.3,,,-77.21061,This study
3,"Caldwell, ID",43.6609194,-116.6969556,Memorial Park,,L3,Cooper's Hawk,Female,Juvenile,6/29/2018,2018,-110.1,0.708207462,±0.00005,-83.0423288,This study
4,"Boise, ID",43.573633,-116.15918,"Boise Avenue, SE Boise (coordinates estimated using Google Earth)",,L4,Cooper's Hawk,Female,Juvenile,6/18/2018,2018,-109.8,0.708190462,±0.00005,-82.74666,This study
5,"Boise, ID",43.658344,-116.2313056,Provided by Bruce,,L5,Cooper's Hawk,Female,Juvenile,7/16/2018,2018,-106.4,0.708066321,±0.00012,-79.83176674,This study
6,"Boise, ID",43.658344,-116.2313056,Provided by Bruce,,L6,Cooper's Hawk,?,Juvenile,7/16/2018,2018,-107.5,0.7076878,±0.00005,-80.79862506,This study
7,"Boise, ID",43.617908,-116.1700667,Provided by Bruce,,L8,Cooper's Hawk,Female,Juvenile,7/16/2018,2018,-105.8,0.708374961,±0.00005,-79.30932289,This study
8,"Boise, ID",43.617908,-116.1700667,Provided by Bruce,,L9,Cooper's Hawk,Female,Juvenile,7/16/2018,2018,-106.6,0.708336771,±0.00005,-80.02680446,This study
9,"Boise, ID",43.617908,-116.1700667,Provided by Bruce,,L10,Cooper's Hawk,Female,Juvenile,7/16/2018,2018,-114.9,0.7089651,±0.00007,-87.09915959,This study
10,"Delta Junction, AK",64.03778,-143.93333,Cordinates provided by collector),,L11,Goshawk,Female,Juvenile,10/1/2016,2016,-123.3,0.7154959,±0.00005,-94.20558954,This study
11,"Smelterville, ID",45.54261,-116.1816,Cordinates provided by collector),,L12,Merlin ,,Juvenile,7/30/2018,2018,-93.7,0.7176388,±0.00005,-69.03026555,This study
12,"Spokane, WA",47.65878056,-117.4260472,Cordinates provided by collector),,L13,Cooper's Hawk,Female,Juvenile,8/20/2018,2018,-109.5,0.713313028,±0.00005,-82.51869759,This study
13,"Rathdrum, ID",47.8471,-116.9612694,Cordinates provided by collector),,L14,Cooper's Hawk,Male,Juvenile,June,2018,-107,0.709411064,±0.00012,-80.38716443,This study
14,"Kellog, ID",47.53808056,-116.1188111,Cordinates provided by collector),,L15,Cooper's Hawk,Female,Juvenile,8/31/2018,2018,-110.5,0.706491671,±0.00005,-83.30303186,This study
15,"Fairbanks area, AK",64.83696389,-147.7170861,Cordinates provided by collector),,L16,Goshawk,Male,Juvenile,Winter 2016,2016,-152.4,0.71606526,±0.00005,-119.0135931,This study
16,"Fairbanks, AK",64.83696389,-147.7170861,Cordinates provided by collector),,L17,Goshawk,Female,Juvenile,9/4/2018,2018,-149.3,0.718504196,±0.00005,-116.4257633,This study
17,"Port Mackenzie, AK",61.4369444,-150.057222,Cordinates provided by collector),,L18,Goshawk,,Juvenile,7/4/2018,2018,-63.5,0.7072483,±0.00005,-43.31295,This study
18,Alaska,67.61558,-149.793,coordinates provided by collector (Erica Craig),1675,L19 ,Kestral ,,Baby (still in nest),Summer 2018,2018,-130.4,0.7126156,±0.00005,-100.3208784,This study
19,Alaska,67.61558,-149.793,coordinates provided by collector (Erica Craig),1676,L20,Kestral ,,Baby (still in nest),Summer 2018,2018,-138.5,0.71246,±0.0002,-107.1621438,This study
20,Alaska,67.61558,-149.793,coordinates provided by collector (Erica Craig),1677,L21,Kestral ,,Baby (still in nest),Summer 2018,2018,-137.5,0.7125089,±0.00005,-106.3513075,This study
21,Alaska,67.61558,-149.793,coordinates provided by collector (Erica Craig),1678,L22,Kestral ,,Baby (still in nest),Summer 2018,2018,-145.6,0.712279343,±0.00005,-113.2752683,This study
22,Alaska,61.0561111,-149.79722,,,,Sharped-shinned,,Juvenile,,,,,,-80.3,Wommack et al. 2020
23,British Colombi,54.0167,-132.15,,,,Sharped-shinned,,Juvenile,,,,,,-39.3,Wommack et al. 2020
24,California,36.537017,121.9262,,,,Sharped-shinned,,Juvenile,,,,,,-18.7,Wommack et al. 2020
25,Idaho,48.4797,-116.8483,,,,Sharped-shinned,,Juvenile,,,,,,-46.7,Wommack et al. 2020
26,British Colombi,48.9895,-124.8,,,,Sharped-shinned,,Juvenile,,,,,,-70.5,Wommack et al. 2020
27,British Colombi,49.6833,-124.9333,,,,Sharped-shinned,,Juvenile,,,,,,-44,Wommack et al. 2020
28,British Colombi,54.0167,-132.15,,,,Sharped-shinned,,Juvenile,,,,,,-44.9,Wommack et al. 2020
29,British Colombi,54.0167,-132.15,,,,Sharped-shinned,,Juvenile,,,,,,-58.3,Wommack et al. 2020
30,California,39.6863371,-123.48519,,,,Sharped-shinned,,Juvenile,,,,,,-12.1,Wommack et al. 2020
31,Alaska,57.03139,-132.8536,,,,Sharped-shinned,,Juvenile,,,,,,-65.1,Wommack et al. 2020
32,California,39.14057,-120.2011,,,,Sharped-shinned,,Juvenile,,,,,,-60.5,Wommack et al. 2020
33,California,41.78846,-124.1668,,,,Sharped-shinned,,Juvenile,,,,,,-34.9,Wommack et al. 2020
34,California,38.49657,-122.9394,,,,Sharped-shinned,,Juvenile,,,,,,-26,Wommack et al. 2020
35,Washingthon,48.66223,-117.9829,,,,Sharped-shinned,,Juvenile,,,,,,-75.4,Wommack et al. 2020
