ID,Locality,Lat,Long,Locality Details,Sample Identifier,ID,Species,Sex,Age,Date captured,Year,d2H,"""Local"" to SW ID? (based in dD)",d13C (‰),d15N (‰),Weight %C,Weight %N,Weight %C:N,Atomic C:N,Sr,Uncertainty
1533-04057,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA1,1533-04057,Sharp-shinned,Female,,9/11/2016,2016,-95.05172683,Yep,-21.93768298,7.331553049,46.5126141,13.97863859,3.327406585,3.882085263,0.706975815,±0.00007
1533-04058,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA2,1533-04058,Sharp-shinned,Female,,9/15/2016,2016,-108.7500907,Yep,-21.88189709,7.292703354,47.41808036,14.29331569,3.317500388,3.870527703,0.7118442,±0.00007
1533-04059,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA3,1533-04059,Sharp-shinned,Female,,9/15/2016,2016,-144.5228359,Nope,-22.55261051,7.439604773,49.6096049,15.14788244,3.275019139,3.82096483,0.732239743,±0.00005
1533-04060,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA4,1533-04060,Sharp-shinned,Female,,9/16/2016,2016,-126.7816459,Nope,-21.92875355,5.73012346,48.97595055,15.06155056,3.251720355,3.793782139,0.711882951,±0.00008
1533-04062,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA5,1533-04062,Sharp-shinned,Female,,9/19/2016,2016,-144.002858,Nope,-21.93801315,6.231790871,47.617907,14.43114151,3.299788107,3.849862784,0.713596096,±0.00005
1533-04065,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA6,1533-04065,Sharp-shinned,Female,,9/20/2016,2016,-135.6898164,Nope,-21.94546031,7.159316984,48.62324029,14.96835657,3.248402058,3.789910682,0.718746676,±0.00005
1533-04067,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA7,1533-04067,Sharp-shinned,Female,,9/20/2016,2016,-119.5896773,Yep,-21.72720835,7.548810849,49.4266366,15.02795801,3.288978886,3.837251666,0.709227773,±0.00005
1533-04068,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA8,1533-04068,Sharp-shinned,Female,,9/20/2016,2016,-153.330316,Nope,-22.60650139,7.638620322,53.52885882,16.11455673,3.321770479,3.875509618,0.709741961,±0.00005
1533-04055,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA9,1533-04055,Sharp-shinned,Female,,9/8/2016,2016,-128.5803466,Nope,-21.18220479,6.031359732,49.14159437,15.16510572,3.240442235,3.780623956,0.710230618,±0.00005
1533-04056,"Snowbank,ID",44.41959722,-116.1438778,,F-SSHA10,1533-04056,Sharp-shinned,Female,,9/8/2016,2016,-129.3924916,Nope,-22.65121999,8.071059571,48.97871549,15.06312913,3.251563142,3.793598718,0.709080783,±0.00008
